gate_type,delay_ps,tpHL_ps,tpLH_ps,power_mW,pdp,vdd,temp,cload,deck_file,output_file,static_input,static_state,switching_input,width_inv,width_n,width_n1,width_n2,width_n3,width_n4,width_p,width_p1,width_p2,width_p3,width_p4
inverter,72.8715,31.3314,72.8715,0.003617,0.263576,1.943,99.6,6.26,spice/generated/inverter_0057.cir,spice/outputs/inverter_0057_output.txt,,,,,1.135,,,,,0.638,,,,
inverter,109.4552,86.5374,109.4552,0.003857,0.422169,1.402,87.2,15.08,spice/generated/inverter_0058.cir,spice/outputs/inverter_0058_output.txt,,,,,0.893,,,,,1.456,,,,
inverter,215.7604,85.4498,215.7604,0.005964,1.286795,1.731,30.6,17.78,spice/generated/inverter_0059.cir,spice/outputs/inverter_0059_output.txt,,,,,0.613,,,,,0.515,,,,
inverter,36.0858,22.1731,36.0858,0.002894,0.104432,1.942,50.0,3.81,spice/generated/inverter_0060.cir,spice/outputs/inverter_0060_output.txt,,,,,1.374,,,,,1.752,,,,
inverter,113.2627,56.1691,113.2627,0.005043,0.571184,1.476,10.9,17.35,spice/generated/inverter_0061.cir,spice/outputs/inverter_0061_output.txt,,,,,1.694,,,,,1.848,,,,
inverter,114.6985,64.5291,114.6985,0.007318,0.839364,1.939,-5.3,15.82,spice/generated/inverter_0062.cir,spice/outputs/inverter_0062_output.txt,,,,,0.654,,,,,0.874,,,,
inverter,86.9154,72.8061,86.9154,0.009153,0.795537,1.93,27.1,18.67,spice/generated/inverter_0063.cir,spice/outputs/inverter_0063_output.txt,,,,,0.732,,,,,1.431,,,,
inverter,25.8068,12.4389,25.8068,0.001668,0.043046,1.919,121.1,1.47,spice/generated/inverter_0064.cir,spice/outputs/inverter_0064_output.txt,,,,,1.822,,,,,1.716,,,,
inverter,77.0336,43.1408,77.0336,0.008487,0.653784,1.842,14.8,17.42,spice/generated/inverter_0065.cir,spice/outputs/inverter_0065_output.txt,,,,,1.703,,,,,1.896,,,,
inverter,79.9015,72.8542,79.9015,0.008492,0.678524,1.886,4.0,17.57,spice/generated/inverter_0066.cir,spice/outputs/inverter_0066_output.txt,,,,,0.662,,,,,1.681,,,,
inverter,49.0814,31.9353,49.0814,0.004566,0.224106,1.915,-3.3,6.8,spice/generated/inverter_0067.cir,spice/outputs/inverter_0067_output.txt,,,,,1.19,,,,,1.725,,,,
inverter,99.7318,40.8712,99.7318,0.00341,0.340085,1.877,-2.4,7.24,spice/generated/inverter_0068.cir,spice/outputs/inverter_0068_output.txt,,,,,0.79,,,,,0.535,,,,
inverter,69.8452,32.9495,69.8452,0.004889,0.341473,1.919,119.5,8.59,spice/generated/inverter_0069.cir,spice/outputs/inverter_0069_output.txt,,,,,1.462,,,,,0.919,,,,
inverter,77.582,77.582,70.6428,0.010707,0.83067,1.989,48.5,19.44,spice/generated/inverter_0070.cir,spice/outputs/inverter_0070_output.txt,,,,,0.673,,,,,1.909,,,,
inverter,93.1794,68.878,93.1794,0.002845,0.265095,1.507,118.8,9.26,spice/generated/inverter_0071.cir,spice/outputs/inverter_0071_output.txt,,,,,0.663,,,,,0.898,,,,
inverter,60.9652,36.3055,60.9652,0.004609,0.280989,1.837,11.8,8.32,spice/generated/inverter_0072.cir,spice/outputs/inverter_0072_output.txt,,,,,1.267,,,,,1.409,,,,
inverter,101.2571,101.2571,94.1484,0.007335,0.742721,1.746,2.0,18.59,spice/generated/inverter_0073.cir,spice/outputs/inverter_0073_output.txt,,,,,0.503,,,,,1.563,,,,
inverter,55.1395,36.3863,55.1395,0.004115,0.226899,1.723,78.7,7.92,spice/generated/inverter_0074.cir,spice/outputs/inverter_0074_output.txt,,,,,1.506,,,,,1.613,,,,
inverter,159.2249,82.2483,159.2249,0.004263,0.678776,1.442,69.6,17.11,spice/generated/inverter_0075.cir,spice/outputs/inverter_0075_output.txt,,,,,0.971,,,,,0.995,,,,
inverter,77.5668,38.8991,77.5668,0.004231,0.328185,1.832,9.6,8.65,spice/generated/inverter_0076.cir,spice/outputs/inverter_0076_output.txt,,,,,1.113,,,,,0.964,,,,
inverter,129.7459,43.5012,129.7459,0.004523,0.586841,1.577,-19.0,13.87,spice/generated/inverter_0077.cir,spice/outputs/inverter_0077_output.txt,,,,,1.911,,,,,1.131,,,,
inverter,30.2084,11.1051,30.2084,0.0011,0.033229,1.942,61.6,1.01,spice/generated/inverter_0078.cir,spice/outputs/inverter_0078_output.txt,,,,,1.322,,,,,0.951,,,,
inverter,83.4218,44.3861,83.4218,0.003627,0.302571,1.572,30.9,9.83,spice/generated/inverter_0079.cir,spice/outputs/inverter_0079_output.txt,,,,,1.482,,,,,1.37,,,,
inverter,121.3102,44.1347,121.3102,0.00581,0.704812,1.665,-4.7,16.12,spice/generated/inverter_0080.cir,spice/outputs/inverter_0080_output.txt,,,,,1.852,,,,,1.21,,,,
inverter,92.7746,41.8635,92.7746,0.002545,0.236111,1.502,-26.0,7.37,spice/generated/inverter_0081.cir,spice/outputs/inverter_0081_output.txt,,,,,1.449,,,,,1.273,,,,
